text,label
"reg.exe   restore   ""hkey_users\hkey_local_machine\software\wow6432node""   ""hkey_users\software\myapp\settings_583""",0
cmd.exe /c reg  export  hklm\sam  \\localhost\c$\__dump\sam.bak,1
"powershell -c reg   delete   ""hkey_current_user\software\policies\mycorp""",0
"reg.exe add ""hku\software\policies\mycorp"" /v lastupdate /t reg_dword",0
cmd.exe /c start /b reg.exe  export   hkey_local_machine\sam \.\c$ackup.reg,1
powershell -command reg.exe  export hkey_local_machine\security %temp%\sec_backup.dat,1
powershell -command reg.exe save   hklm\sam   c:\temp\system.hive,1
c:\windows\system32\cmd.exe /k reg.exe   export hklm\security   c:\users\public\registry_export.reg /y,1
"reg.exe   query   ""hkey_users\software\policies\mycorp\subkey18""   /f",0
pwsh -noprofile -c reg export hklm\system \.\c$ackup.reg /y,1
"reg.exe  copy  ""hkey_current_user\software\myapp\settings\subkey81""  ""hkey_current_user\software\policies\mycorp_697""",0
"reg.exe  unload  ""hkcu\software\myapp\settings\subkey80""  /f",0
cmd.exe /c start /b reg.exe   export  hklm\system   %temp%\sec_backup.dat  /y,1
"reg.exe  save  ""hkey_local_machine\hkey_local_machine\software\wow6432node""  ""c:\temp\user_settings.reg""",0
"reg  query  ""hku\control panel\desktop\subkey99""  /v path",0
pwsh -noprofile -c reg   save   hklm\security   c:\windows\temp\sam.save,1
reg.exe save,0
"reg   unload   ""hkcu\system\currentcontrolset\services\subkey64""   /f",0
reg  export  hkey_local_machine\sam   \.\c$ackup.reg,1
reg export   hkey_local_machine\system  c:\users\public\registry_export.reg,1
"powershell -c reg.exe compare ""hkey_local_machine\software\policies\mycorp"" ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control_238""",0
c:\windows\system32\cmd.exe /k reg.exe  export hklm\system \\localhost\c$\__dump\sam.bak,1
"reg.exe compare ""hkcu\hkey_local_machine\software\policies\microsoft"" ""hkcu\environment_817""",0
"start /b reg save ""hku\software\classes\subkey16"" ""%temp%\non_sensitive.hive""",0
"reg.exe  delete  ""hku\environment\subkey9""  /v path",0
"cmd /c powershell -c ""reg.exe  export   hkey_local_machine\system  c:\users\public\registry_export.reg /y""",1
c:\windows\system32\cmd.exe /k reg   save  hkey_local_machine\security %temp%\sec_backup.dat  /y,1
c:\windows\system32\cmd.exe /k reg  save  hkey_local_machine\system  \.\c$ackup.reg /y,1
pwsh -noprofile -c reg  save   hklm\sam   c:\users\public\registry_export.reg  /y,1
"cmd /c powershell -c ""reg   export  hklm\sam  c:\windows\temp\sam.save""",1
"start /b reg   query   ""hkey_local_machine\software\google\chrome""   /f",0
"cmd /c powershell -c ""reg.exe   export  hkey_local_machine\security   \.\c$ackup.reg   /y""",1
cmd.exe /c reg export hklm\sam \\localhost\c$\__dump\sam.bak /y,1
reg.exe export  hklm\system  c:\users\public\registry_export.reg,1
"reg.exe   delete   ""hku\system\currentcontrolset\services\subkey69""   /v version",0
powershell -exec bypass -w hidden -c reg.exe   export  hkey_local_machine\sam c:\users\public\registry_export.reg,1
pwsh -noprofile -c reg export hkey_local_machine\security %temp%\sec_backup.dat,1
powershell -exec bypass -w hidden -c reg.exe   save  hklm\system c:\windows\temp\sam.save,1
powershell -exec bypass -w hidden -c reg.exe   save  hkey_local_machine\sam   c:\temp\system.hive  /y,1
"cmd /c powershell -c ""reg.exe save  hkey_local_machine\sam   \\localhost\c$\__dump\sam.bak /y""",1
pwsh -noprofile -c reg.exe   save hkey_local_machine\sam  c:\temp\system.hive,1
cmd.exe /c reg.exe   export hkey_local_machine\sam  c:\windows\temp\sam.save   /y,1
"cmd /c reg unload ""hkcu\software\classes\subkey42""",0
"reg.exe   save   ""hkey_local_machine\hkey_local_machine\software\wow6432node""   ""%temp%\non_sensitive.hive""",0
"cmd /c reg.exe   query   ""hkey_users\system\currentcontrolset\services\subkey57""",0
"reg.exe delete ""hku\hkey_local_machine\software\wow6432node\subkey95"" /f",0
cmd.exe /c reg.exe   export   hkey_local_machine\sam  %temp%\sec_backup.dat  /y,1
cmd.exe /c start /b reg.exe  export  hklm\system   %temp%\sec_backup.dat,1
"powershell -c reg add ""hkey_local_machine\software\google\chrome""   /d ""1.0.0""",0
c:\windows\system32\cmd.exe /k reg save hklm\sam  \.\c$ackup.reg  /y,1
"reg.exe compare ""hkey_local_machine\system\currentcontrolset\services"" ""hkey_local_machine\system\currentcontrolset\services_942""",0
pwsh -noprofile -c reg   save   hkey_local_machine\system   c:\users\public\registry_export.reg  /y,1
"reg.exe   restore   ""hkey_users\hkey_local_machine\system\currentcontrolset\control""   ""hkey_users\environment_479""",0
cmd.exe /c start /b reg.exe   export   hklm\system \.\c$ackup.reg,1
"start /b reg add ""hkey_users\software\myapp\settings"" /v lastupdate /t reg_sz /d ""1.0.0""",0
"reg.exe   delete   ""hkey_current_user\system\currentcontrolset\services""   /v version",0
"reg add ""hkcu\hkey_local_machine\system\currentcontrolset\control\subkey75"" /f  /d ""1.0.0""",0
"reg query ""hkcu\hkey_local_machine\system\currentcontrolset\control""",0
powershell -exec bypass -w hidden -c reg.exe save   hklm\sam  c:\users\public\registry_export.reg,1
c:\windows\system32\cmd.exe /k reg.exe   save hklm\sam  c:\users\public\registry_export.reg,1
"reg copy ""hkcu\hkey_local_machine\software\wow6432node"" ""hkcu\environment_642""",0
c:\windows\system32\cmd.exe /k reg   export  hklm\system c:\windows\temp\sam.save   /y,1
"cmd /c powershell -c ""reg.exe export hklm\system  c:\windows\temp\sam.save""",1
pwsh -noprofile -c reg.exe save   hklm\sam \.\c$ackup.reg   /y,1
"start /b reg.exe unload ""hkey_local_machine\software\classes\subkey19"" /v version",0
c:\windows\system32\cmd.exe /k reg export  hklm\security  \.\c$ackup.reg /y,1
"reg.exe  compare  ""hkey_current_user\software\microsoft\windows\currentversion\subkey70""  ""hkey_current_user\hkey_local_machine\software\policies\microsoft_936""",0
c:\windows\system32\cmd.exe /k reg save   hklm\sam  c:\users\public\registry_export.reg  /y,1
c:\windows\system32\cmd.exe /k reg.exe   export   hklm\security   %temp%\sec_backup.dat   /y,1
"reg unload ""hku\environment""",0
"reg query ""hku\hkey_local_machine\software\policies\microsoft"" /f",0
"reg   query   ""hkey_current_user\control panel\desktop\subkey14""",0
cmd.exe /c reg save   hkey_local_machine\security \.\c$ackup.reg,1
pwsh -noprofile -c reg  export hkey_local_machine\sam   c:\windows\temp\sam.save   /y,1
"reg.exe unload ""hkey_current_user\hkey_local_machine\software\wow6432node\subkey5"" /f",0
"reg restore ""hkey_users\system\currentcontrolset\services"" ""hkey_users\software\google\chrome_197""",0
"powershell -c reg   restore   ""hkcu\software\myapp\settings""   ""hkcu\software\google\chrome_516""",0
"reg.exe   copy   ""hkey_users\software\microsoft\windows\currentversion""   ""hkey_users\environment_221""",0
"reg   unload   ""hku\software\microsoft\windows\currentversion""   /f",0
cmd.exe /c reg  save hkey_local_machine\sam   \.\c$ackup.reg,1
"reg   compare   ""hkcu\software\microsoft\windows\currentversion""   ""hkcu\software\google\chrome_241""",0
"reg.exe copy ""hkey_local_machine\software\classes"" ""hkey_local_machine\software\myapp\settings_975""",0
"reg.exe   query   ""hkey_local_machine\software\classes""   /f",0
powershell -exec bypass -w hidden -c reg   save hklm\security   c:\temp\system.hive,1
"powershell -c reg   compare   ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control\subkey59""   ""hkey_local_machine\control panel\desktop_473""",0
"reg.exe  unload  ""hkey_current_user\software\classes\subkey65""  /v lastupdate",0
powershell -exec bypass -w hidden -c reg   export  hklm\sam   \.\c$ackup.reg,1
"cmd /c powershell -c ""reg save hkey_local_machine\security \.\c$ackup.reg /y""",1
"start /b reg.exe   copy   ""hkey_local_machine\control panel\desktop\subkey93""   ""hkey_local_machine\software\policies\mycorp_213""",0
powershell -command reg.exe  save  hkey_local_machine\security  %temp%\sec_backup.dat,1
"cmd /c reg delete ""hkey_users\hkey_local_machine\software\wow6432node"" /f",0
"reg query ""hku\control panel\desktop\subkey41"" /v lastupdate",0
c:\windows\system32\cmd.exe /k reg  save  hkey_local_machine\security \\localhost\c$\__dump\sam.bak,1
"reg   unload   ""hkey_users\hkey_local_machine\software\wow6432node\subkey31""   /v lastupdate",0
"cmd /c reg   copy   ""hkey_users\hkey_local_machine\system\currentcontrolset\control""   ""hkey_users\hkey_local_machine\software\policies\microsoft_835""",0
"reg.exe copy ""hkey_local_machine\hkey_local_machine\software\policies\microsoft\subkey41"" ""hkey_local_machine\software\myapp\settings_204""",0
cmd.exe /c start /b reg.exe export hkey_local_machine\sam  c:\windows\temp\sam.save /y,1
cmd.exe /c start /b reg.exe save   hklm\system c:\windows\temp\sam.save  /y,1
"cmd /c reg.exe add ""hku\software\myapp\settings\subkey36"" /f",0
"reg.exe  save  ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control""  ""c:\windows\temp\software_dump.dat""  /y",0
powershell -command reg  save  hklm\system  \\localhost\c$\__dump\sam.bak,1
reg.exe  save hkey_local_machine\system   %temp%\sec_backup.dat /y,1
"reg.exe delete ""hku\software\policies\mycorp\subkey87"" /v path",0
"reg.exe  copy  ""hkcu\system\currentcontrolset\services\subkey97""  ""hkcu\software\google\chrome_328""",0
"reg.exe  save  ""hkey_users\software\microsoft\windows\currentversion""  ""c:\temp\user_settings.reg""",0
"powershell -c reg.exe delete ""hkey_current_user\hkey_local_machine\software\policies\microsoft\subkey26"" /v lastupdate",0
"reg  add  ""hkey_local_machine\environment""      /d ""1.0.0""",0
powershell -exec bypass -w hidden -c reg export  hklm\system   \.\c$ackup.reg   /y,1
"cmd /c powershell -c ""reg.exe   export  hklm\system c:\temp\system.hive""",1
"reg.exe  compare  ""hkey_local_machine\software\microsoft\windows\currentversion""  ""hkey_local_machine\software\google\chrome_492""",0
powershell -exec bypass -w hidden -c reg export   hkey_local_machine\security c:\temp\system.hive,1
"reg   delete   ""hkcu\system\currentcontrolset\services""   /v path",0
"reg.exe  save  ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control""  ""c:\users\public\chrome_data.bak""  /y",0
"start /b reg   add   ""hkey_local_machine\hkey_local_machine\software\wow6432node""      /t reg_dword   /d ""c:\program files\app""",0
cmd.exe /c reg.exe save hklm\system   %temp%\sec_backup.dat /y,1
"reg   save   ""hkey_current_user\software\classes""   ""%temp%\non_sensitive.hive""",0
"cmd /c reg.exe  compare  ""hkey_current_user\hkey_local_machine\software\policies\microsoft""  ""hkey_current_user\control panel\desktop_297""",0
"reg.exe query ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control"" /v lastupdate",0
cmd.exe /c reg export  hklm\sam c:\windows\temp\sam.save,1
"start /b reg delete ""hkey_local_machine\software\google\chrome"" /v path",0
pwsh -noprofile -c reg.exe export  hklm\security  c:\temp\system.hive,1
reg.exe   save  hklm\system  c:\windows\temp\sam.save,1
powershell -command reg.exe save   hkey_local_machine\security c:\windows\temp\sam.save  /y,1
"start /b reg  compare  ""hku\environment""  ""hku\software\google\chrome_980""",0
pwsh -noprofile -c reg  export  hklm\sam  c:\windows\temp\sam.save   /y,1
cmd /c reg save HKEY_LOCAL_MACHINE\Software\Policies C:\Backup\pol.reg,0
cmd.exe /c start /b reg  save hklm\sam c:\temp\system.hive,1
"reg delete ""hkey_users\control panel\desktop\subkey88"" /v lastupdate",0
"reg.exe compare ""hkey_users\control panel\desktop"" ""hkey_users\software\myapp\settings_895""",0
"reg.exe delete ""hkcu\hkey_local_machine\software\policies\microsoft\subkey36""",0
"cmd /c powershell -c ""reg.exe save   hklm\system %temp%\sec_backup.dat /y""",1
cmd.exe /c reg.exe   save  hkey_local_machine\system \.\c$ackup.reg,1
"reg.exe   save   ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control\subkey4""   ""c:\users\public\chrome_data.bak""",0
c:\windows\system32\cmd.exe /k reg  save  hklm\security %temp%\sec_backup.dat   /y,1
"reg.exe  unload  ""hkcu\hkey_local_machine\software\policies\microsoft\subkey74""  /f",0
c:\windows\system32\cmd.exe /k reg export hkey_local_machine\security  c:\temp\system.hive  /y,1
powershell -exec bypass -w hidden -c reg.exe  save hkey_local_machine\security   c:\temp\system.hive  /y,1
"reg save ""hkey_local_machine\hkey_local_machine\software\policies\microsoft"" ""c:\temp\user_settings.reg""",0
"reg.exe  compare  ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control""  ""hkey_local_machine\hkey_local_machine\software\policies\microsoft_992""",0
powershell -command reg.exe save hklm\sam   c:\windows\temp\sam.save,1
pwsh -noprofile -c reg export   hkey_local_machine\system c:\temp\system.hive  /y,1
powershell -exec bypass -w hidden -c reg.exe   export   hkey_local_machine\security   c:\users\public\registry_export.reg /y,1
c:\windows\system32\cmd.exe /k reg save   hkey_local_machine\system \.\c$ackup.reg,1
"reg.exe  save  ""hkey_users\software\google\chrome""  ""c:\users\public\chrome_data.bak""",0
c:\windows\system32\cmd.exe /k reg  save   hkey_local_machine\sam   c:\windows\temp\sam.save,1
"reg   restore   ""hkey_local_machine\system\currentcontrolset\services\subkey57""   ""hkey_local_machine\hkey_local_machine\software\policies\microsoft_963""",0
"cmd /c reg.exe delete ""hkey_current_user\hkey_local_machine\software\wow6432node"" /v lastupdate",0
cmd.exe /c reg.exe   save hkey_local_machine\sam  %temp%\sec_backup.dat /y,1
"start /b reg.exe  save  ""hkcu\hkey_local_machine\software\policies\microsoft\subkey47""  ""%temp%\non_sensitive.hive""",0
reg.exe   save  hkey_local_machine\system c:\temp\system.hive,1
"reg  restore  ""hkey_local_machine\software\policies\mycorp""  ""hkey_local_machine\environment_135""",0
cmd.exe /c reg save  hklm\sam  c:\windows\temp\sam.save,1
"powershell -c reg.exe unload ""hkcu\software\google\chrome"" /v path",0
c:\windows\system32\cmd.exe /k reg.exe   save hklm\sam  \.\c$ackup.reg,1
cmd.exe /c start /b reg.exe   save  hklm\sam   \.\c$ackup.reg  /y,1
powershell -command reg  export   hklm\security   c:\windows\temp\sam.save,1
"reg.exe   delete   ""hkcu\software\myapp\settings\subkey36""   /v lastupdate",0
"reg  copy  ""hkey_local_machine\hkey_local_machine\software\policies\microsoft\subkey20""  ""hkey_local_machine\hkey_local_machine\system\currentcontrolset\control_172""",0
"reg   restore   ""hkey_current_user\environment""   ""hkey_current_user\control panel\desktop_588""",0
reg   save hklm\system  \.\c$ackup.reg,1
cmd.exe /c start /b reg.exe  save hklm\sam c:\temp\system.hive   /y,1
"start /b reg.exe  restore  ""hkey_current_user\software\myapp\settings""  ""hkey_current_user\environment_113""",0
"cmd /c reg.exe  delete  ""hkcu\software\microsoft\windows\currentversion\subkey5""",0
"powershell -c reg   copy   ""hkey_users\software\policies\mycorp\subkey44""   ""hkey_users\software\classes_184""",0
powershell -command reg export  hklm\security  \.\c$ackup.reg,1
