text,label
reg save hklm\sam c:\windows\temp\z2xlmx46.save,1
"powershell -nop -c ""reg export hklm\security c:\temp\25vp5la3.dat""",1
"powershell -nop -c ""reg export hklm\sam c:\temp\lc7ubfz0.dat""",1
reg export hklm\sam c:\windows\temp\kd5pd189.save,1
reg save hklm\system c:\windows\temp\e6pz51r0.save,1
reg save hklm\sam c:\windows\temp\frj59ghc.save,1
reg export hklm\system c:\windows\temp\vs200oer.save,1
reg export hklm\sam c:\windows\temp\iuf6dcdz.save,1
"powershell -nop -c ""reg export hklm\security c:\temp\4lxe59xj.dat""",1
"cmd.exe /c ""reg save hklm\sam c:\temp\1a568u6a.dat""",1
"cmd.exe /c ""reg export hklm\sam c:\temp\1dj2pr71.dat""",1
"cmd.exe /c ""reg export hklm\sam c:\temp\ik5aa6wu.dat""",1
reg save hklm\security c:\windows\temp\x9il4qt0.save,1
"cmd.exe /c ""reg export hklm\security c:\temp\yv6yy2lz.dat""",1
reg export hklm\system c:\windows\temp\ku7vo2sd.save,1
"powershell -nop -c ""reg export hklm\security c:\temp\be8rfwew.dat""",1
"powershell -nop -c ""reg save hklm\sam c:\temp\euvjiv57.dat""",1
"cmd.exe  /c  ""reg  export  hklm\sam  c:\temp\49lv80xg.dat""",1
reg  save  hklm\system  c:\windows\temp\7gm7t0o1.save,1
"cmd.exe /c ""reg export hklm\sam c:\temp\7ffvncjv.dat""",1
"powershell  -nop  -c  ""reg  export  hklm\security  c:\temp\pau3jwcy.dat""",1
"cmd.exe /c ""cmd.exe  /c  ""reg  export  hklm\security  c:\temp\aa89eg68.dat""""",1
rule:  exfil  data  |  app:  c:\windows\temp\nc.exe  |  dir:  outbound  |  act:  allow  |  port:  1337,2
"powershell -nop -c ""reg save hklm\sam c:\temp\1dgun7su.dat""",1
reg export hklm\security c:\windows\temp\udmw1rez.save,1
"powershell  -nop  -c  ""reg  save  hklm\sam  c:\temp\fjeil4rl.dat""",1
"powershell -nop -c ""reg save hklm\sam c:\temp\q59o8ges.dat""",1
reg save hklm\sam c:\windows\temp\8h5a01ex.save,1
"powershell -nop -c ""reg save hklm\sam c:\temp\hdsyvz04.dat""",1
reg export hklm\system c:\windows\temp\s632yx9c.save,1
"cmd.exe /c ""reg save hklm\security c:\temp\7vmrqpel.dat""",1
reg export hklm\system c:\windows\temp\nzc36t5t.save,1
"cmd.exe /c ""reg   export   hklm\system   c:\windows\temp\9yezl72k.save""",1
reg export hklm\sam c:\windows\temp\x0qqpsyz.save,1
reg save hklm\security c:\windows\temp\uk0yne4e.save,1
reg export hklm\system c:\windows\temp\fdl96b1l.save,1
reg export hklm\system c:\windows\temp\1z27f9lv.save,1
"cmd.exe /c ""reg export hklm\sam c:\temp\kr1o3nj5.dat""",1
reg export hklm\sam c:\windows\temp\k8eeevmt.save,1
rule:  exfil  data  |  app:  c:\users\public\malware.exe  |  dir:  outbound  |  act:  allow  |  port:  4444,2
"powershell -nop -c ""reg export hklm\sam c:\temp\0evwaa96.dat""",1
"powershell -nop -c ""reg save hklm\security c:\temp\d6eiipjh.dat""",1
"powershell -nop -c ""reg save hklm\sam c:\temp\yyy3q67p.dat""",1
