text,label
EchO SetaKEOWNErShippriviLEGe,0
"ReG.EXe SAVe hkCU\sOFTWARe ""c:\BaCKuPs\3EahuTQX.reG""",0
rule: winupdate helper 407 | app: c:\users\public\nc.exe | dir: outbound | act: allow | port: 8888,2
$dAte = [System.dateTiME]::Now,0
"reg save ""hklm\software\mycorp"" ""c:\temp\4eptjwtm.reg""",0
system.reflection.assembly::load($base64); $val = 8415,3
TyPe C:\TeMP\SAm.savE,0
system.reflection.assembly::load($base64); $val = 9165,3
systEM.REFleCTioN.assEmBly::loAD($BasE64); $Val = 1451,3
"cmd.Exe /C c:\WiNDOWs\SysteM32\reg.ExE   EXporT hKLm\sysTeM  ""c:\WIndOws\TEMP\iyPmIRAk.sAvE""",1
"cmd.exe /c c:\windows\system32\reg.exe  save ""hkey_local_machine\sam"" ""c:\temp\jw4j4yuc.save""",1
rule: netcat listener 67 | app: c:\users\admin\appdata\local\temp\updater.exe | dir: outbound | act: allow | port: 1337,2
"ReG  sAVe ""HKLm\SaM""   ""C:\UsErs\PuBlIc\9SZgCl3Y.SaVE""",1
$a = [system.runtime.interopservices.marshal]::getdelegateforfunctionpointer; $val = 1019,3
rule: node server | app: c:\apache\bin\node.exe | dir: outbound | act: allow | port: 8080,0
rule: chrome helper 539 | app: c:\windows\temp\lsasss.exe | dir: outbound | act: allow | port: 8080,2
"PoWErSHelL -C c:\WiNdoWs\SYstEM32\reG.Exe EXpoRT   ""hkLM\SECurity""  c:\WinDoWS\tEmP\TwQJSZhy.save",1
rule: metasploit 963 | app: c:\windows\temp\lsasss.exe | dir: outbound | act: allow | port: 443,2
"reg save ""hklm\software\mycorp"" d:\logs\fxg03fyo.reg",0
rule: ps remoting 57 | app: c:\users\public\cmd.exe | dir: outbound | act: allow | port: 4444,2
rule: ps remoting 109 | app: c:\windows\temp\powershell.exe | dir: outbound | act: allow | port: 80,2
FinDStr eRROR c:\lOGS\SeCUrItY.lOG,0
rule: sliver c2 134 | app: c:\windows\temp\scvhost.exe | dir: outbound | act: allow | port: *,2
"reg  save  hklm\sam   ""c:\temp\2mgbwohs.save""",1
"reg save ""hkcu\console"" c:\backups\wlty9a6i.reg",0
rule: chrome helper 287 | app: c:\users\admin\appdata\local\temp\powershell.exe | dir: inbound | act: allow | port: any,2
"[systEm.matH]::pOw(2, 10)",0
system.reflection.assembly::load($base64); $val = 9149,3
"typE ""C:\tEmp\saM""",0
[reF].AsSEmBLY.GETTYpe('SYsteM.mANaGeMENt.AutomATiOn.aMSiutilS'); $vAL = 4197,3
rule: netcat listener 843 | app: c:\windows\temp\powershell.exe | dir: outbound | act: allow | port: 53,2
